year,country_name,athlete_name,medal_type,athlete_photo_url
2022,Austria,Lorenz KOLLER,BRONZE,https://olympics.com/en/athletes/lorenz-koller
2022,Italy,Dominik FISCHNALLER,BRONZE,https://olympics.com/en/athletes/dominik-fischnaller
2022,Austria,Wolfgang KINDL,SILVER,https://olympics.com/en/athletes/wolfgang-kindl
2022,Germany,Johannes LUDWIG,GOLD,https://olympics.com/en/athletes/johannes-ludwig
2022,Germany,Natalie GEISENBERGER,GOLD,https://olympics.com/en/athletes/natalie-geisenberger
2022,ROC,Tatyana IVANOVA,BRONZE,https://olympics.com/en/athletes/tatyana-ivanova
2022,Germany,Anna BERREITER,SILVER,https://olympics.com/en/athletes/anna-berreiter
2022,ROC,Eduard LATYPOV,BRONZE,https://olympics.com/en/athletes/eduard-latypov
2022,Norway,Tarjei BOE,SILVER,https://olympics.com/en/athletes/tarjei-boe
2022,France,Quentin FILLON MAILLET,GOLD,https://olympics.com/en/athletes/quentin-fillon-maillet
2022,France,Justine BRAISAZ,GOLD,https://olympics.com/en/athletes/braisaz
2022,Norway,Marte Olsbu ROEISELAND,BRONZE,https://olympics.com/en/athletes/marte-olsbu-roeiseland
2022,Norway,Tiril ECKHOFF,SILVER,https://olympics.com/en/athletes/tiril-eckhoff
2022,Norway,Tiril ECKHOFF,BRONZE,https://olympics.com/en/athletes/tiril-eckhoff
2022,Norway,Marte Olsbu ROEISELAND,GOLD,https://olympics.com/en/athletes/marte-olsbu-roeiseland
2022,Sweden,Elvira OEBERG,SILVER,https://olympics.com/en/athletes/elvira-oeberg
2022,France,Quentin FILLON MAILLET,SILVER,https://olympics.com/en/athletes/quentin-fillon-maillet
2022,Norway,Tarjei BOE,BRONZE,https://olympics.com/en/athletes/tarjei-boe
2022,Norway,Johannes Thingnes BOE,GOLD,https://olympics.com/en/athletes/johannes-thingnes-boe
2022,Norway,Marte Olsbu ROEISELAND,GOLD,https://olympics.com/en/athletes/marte-olsbu-roeiseland
